id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area,material,function,thickness
30b382b6-087b-407b-9fe7-257a49470bb8-0012ba28,Landscape - Lawn,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0.6096,6.563539421,-28.2448,-8.721725,-1.2954,-15.325725,-2.606675,-1.1938,"[[-15.325725,-8.721725],[-15.325725,-2.606675],[-28.2448,-2.606675],[-28.2448,-4.403725],[-27.822525,-4.403725],[-27.822525,-4.5974],[-27.14625,-4.5974],[-27.14625,-6.731],[-27.822525,-6.731],[-27.822525,-6.924675],[-28.2448,-6.924675],[-28.2448,-8.721725]]",64.60176596,Grass,floor,0.1016
82ec593f-3794-4c2a-abef-4ec683402803-0012db2c,Hardscape - Brick Walk,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,3.0007407,-30.25140915,-8.9154,-1.905017976,-27.708225,5.565775,-1.651,"[[-30.25140915,5.565775],[-30.25140915,-8.9154],[-28.38444807,-8.9154],[-28.38444807,-6.731],[-28.38444807,-4.5974],[-28.38444807,0.270507726],[-27.708225,2.635250004],[-27.708225,5.565775]]",29.53498024,"Brick, Common",floor,0.1016
82ec593f-3794-4c2a-abef-4ec683402803-0012dbe7,Landscape - Lawn,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0.254,1.887531677,-33.9852,-8.721725,-1.651,-30.46095,-2.606675,-1.5494,"[[-32.39135,-8.696325],[-32.39135,-7.477125],[-31.17215,-7.477125],[-31.17215,-8.696325]]",18.57806768,Grass,floor,0.1016
67c8725e-6767-456a-a743-b96a80deb581-001408e0,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,2.924175,1.381451259,-11.922125,2.822575,8.55345,-8.40105,6.353175,8.664575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
67c8725e-6767-456a-a743-b96a80deb581-00140919,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,2.924175,1.381451259,-11.922125,2.822575,12.61745,-8.40105,6.353175,12.728575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
67c8725e-6767-456a-a743-b96a80deb581-00140952,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,2.924175,1.381451259,-11.922125,2.822575,16.68145,-8.40105,6.353175,16.792575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152daf,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.0612220711,-25.6921,3.8354,18.2118,-19.7612,4.0386,18.2626,"[[-25.6921,4.0386],[-25.6921,3.8354],[-19.7612,3.8354],[-19.7612,4.0386]]",1.20515888,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152e94,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.1625596749,-25.6921,4.0386,18.2118,-19.7612,11.9126,18.2626,"[[-25.6921,11.9126],[-25.6921,4.0386],[-25.4889,4.0386],[-25.4889,11.9126]]",3.1999936,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152efb,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.0797066793,5.9182,2.5019,18.2118,13.6398,2.7051,18.2626,"[[5.9182,2.7051],[5.9182,2.5019],[13.6398,2.5019],[13.6398,2.7051]]",1.56902912,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152f02,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.2023474663,5.9182,2.7051,18.2118,13.6398,12.506325,18.2626,"[[5.9182,12.506325],[5.9182,2.7051],[6.1214,2.7051],[6.1214,12.506325]]",3.98321784,Paving - Brick Border,floor,0.0508
2b118248-51bc-4953-8bfb-2c5cf0ba34c2-00154826,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,2.177475849,-33.448625,-0.161925,18.542,-6.067425,5.565775,18.6944,"[[-33.448625,5.565775],[-33.448625,0.4853378077],[-33.15158561,0.4853378077],[-32.15983053,2.661689237],[-30.59485771,4.982012095],[-30.241875,5.049302875],[-30.241875,5.565775]]",21.43184891,Planting Bed,floor,0.1016
98fc0674-037e-46de-b878-c5e65f1bd3b9-0015523d,Roof - Turf,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,10.23671445,6.1214,2.7051,18.2118,13.4366,12.506325,18.4658,"[[13.27689456,2.78328632],[10.36803054,6.233677368],[8.845454114,3.570362594]]",72.23728543,Grass - Turf,floor,0
10264b00-0db3-43a6-8a20-3768430fc7a5-00156100,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,2.291797349,13.6398,3.7211,18.2118,18.78047811,12.506325,18.2626,"[[13.6398,3.7211],[18.78047811,3.7211],[18.78047811,11.65335117],[18.66818198,12.506325],[13.6398,12.506325]]",45.11412105,Exterior Decking,floor,0.0508
10264b00-0db3-43a6-8a20-3768430fc7a5-001561da,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,0.3997456249,18.79317811,3.728412531,18.5928,19.81100649,11.45958661,18.6944,"[[18.79317811,11.45958661],[18.79317811,3.728412531],[19.81100649,3.728412531]]",3.934504182,Planting Bed,floor,0.1016
