id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height,operation
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc654,"36"" x 84"" (Roof)",R100E,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1373497772,-6.3754,7.508875,18.3134,-5.34035,8.670925,20.5486,45ed4799-d124-4abc-8e2b-9d29089bad28-000b7d87,0.3851255329,Aluminum,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc67f,"72"" x 84""",R100D,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1267248146,-9.4488,6.162675,18.3134,-8.28675,8.112125,20.5486,45ed4799-d124-4abc-8e2b-9d29089bad28-000b7d59,0.4965753425,Metal - Painted - Grey,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc7bf,"72"" x 84""",R103A,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1267248146,-18.4912,6.029325,18.3134,-17.32915,7.978775,20.5486,8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc761,0.2496947497,Metal - Painted - Grey,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc7d3,"72"" x 84""",R103B,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1267248146,-18.4912,8.588375,18.3134,-17.32915,10.537825,20.5486,8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc761,0.7417582418,Metal - Painted - Grey,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc96c,"36"" x 84"" (Cores)",405A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1273190377,-2.95275,-1.635125,9.8044,-1.93675,-0.523875,11.9888,1533f27f-0a78-47fe-acb5-1c70425d3f5a-001f8f23,0.7429643527,Aluminum,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000ccc54,"36"" x 84"" (60 MIN)",403B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,-9.394825,-0.231775,9.8044,-8.378825,0.8509,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b74f8,0.2259201479,Aluminum,0,0,
8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000ccc8a,"36"" x 84"" (60 MIN)",405B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,-1.70815,-0.231775,9.8044,-0.69215,0.8509,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b74f8,0.5056913388,Aluminum,0,0,
30a70096-9e54-40c1-a6fd-47920eff814f-000d4079,"36"" x 84""",108B,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.1172729993,10.067925,10.429875,-1.0541,11.083925,11.4808,1.1303,45ed4799-d124-4abc-8e2b-9d29089bad28-000b6611,0.6012678288,Aluminum,0,0,
c1d54505-61c2-449c-9999-8528a85092a8-000d742e,"36"" x 84"" (180 MIN)",S22B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.1373497772,-13.4747,5.6896,2.4638,-12.43965,6.8961,4.699,c1d54505-61c2-449c-9999-8528a85092a8-000d7870,0.7334721499,Aluminum,0,0,
c1d54505-61c2-449c-9999-8528a85092a8-000d742f,"36"" x 84"" (180 MIN)",S24,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1373497772,-13.4747,5.6896,9.8044,-12.43965,6.8961,12.0396,c1d54505-61c2-449c-9999-8528a85092a8-000d7870,0.7334721499,Aluminum,0,0,
c1d54505-61c2-449c-9999-8528a85092a8-000d7430,"36"" x 84"" (180 MIN)",S23,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1373497772,-13.4747,5.6896,5.7404,-12.43965,6.8961,7.9756,c1d54505-61c2-449c-9999-8528a85092a8-000d7870,0.7334721499,Aluminum,0,0,
c1d54505-61c2-449c-9999-8528a85092a8-000d7431,"36"" x 84"" (180 MIN)",S25,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1373497772,-13.4747,5.6896,13.8684,-12.43965,6.8961,16.1036,c1d54505-61c2-449c-9999-8528a85092a8-000d7870,0.7334721499,Aluminum,0,0,
c1d54505-61c2-449c-9999-8528a85092a8-000d7871,"36"" x 84"" (Roof)",S26,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1373497772,-13.4747,5.6896,18.3134,-12.43965,6.8961,20.5486,c1d54505-61c2-449c-9999-8528a85092a8-000d7870,0.7334721499,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8be2,"36"" x 84"" (45 MIN)",201A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.1373497772,0.930275,4.36245,2.4638,2.130425,5.3975,4.699,90fda8b4-a610-49d8-bad8-fb782dda6d71-0012da7f,0.277540107,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8e10,"36"" x 84""",R100B,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1373497772,1.5382875,8.385175,18.3134,2.5733375,9.547225,20.5486,ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8dc4,0.565018315,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8e6c,"36"" x 84""",R100C,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1373497772,0.95885,4.327525,18.3134,2.1209,5.362575,20.5486,ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8d2a,0.5778175313,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f10,"36"" x 84"" (45 MIN)",302A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1373497772,0.930275,4.36245,5.7404,2.130425,5.3975,7.9756,90fda8b4-a610-49d8-bad8-fb782dda6d71-0012da7f,0.277540107,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f14,"36"" x 84"" (45 MIN)",402A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1373497772,0.930275,4.36245,9.8044,2.130425,5.3975,12.0396,90fda8b4-a610-49d8-bad8-fb782dda6d71-0012da7f,0.277540107,Aluminum,0,0,
ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f18,"36"" x 84"" (45 MIN)",502A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1373497772,0.930275,4.36245,13.8684,2.130425,5.3975,16.1036,90fda8b4-a610-49d8-bad8-fb782dda6d71-0012da7f,0.277540107,Aluminum,0,0,
d25651f2-4b77-4502-831b-94c28a909a13-000dbcd0,"36"" x 84"" (180 MIN)",S20,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,0,0.1373497772,-14.72565,5.5372,-5.1562,-13.6906,6.8961,-2.921,d25651f2-4b77-4502-831b-94c28a909a13-000dbccf,0.303030303,Aluminum,0,0,
1e1216bb-7a57-4652-adb5-2002d71ed03d-000dd694,"36"" x 84"" (Cores)",409B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1273190377,17.478375,-2.162175,9.8044,18.589625,-1.146175,11.9888,1e1216bb-7a57-4652-adb5-2002d71ed03d-000dd680,0.779600205,Aluminum,0,0,
1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddc5b,"36"" x 84"" (Cores)",410B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1273190377,14.525625,4.467225,9.8044,15.636875,5.483225,11.9888,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021f182,0.5682730924,Aluminum,0,0,
1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd26,"36"" x 84"" (Cores)",308B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1273190377,17.50758561,-2.162175,5.7404,18.61883561,-1.146175,7.9248,1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd13,0.779600205,Aluminum,0,0,
1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd4b,"36"" x 84"" (Cores)",309B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1273190377,14.525625,4.467225,5.7404,15.636875,5.483225,7.9248,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021efa8,0.5682730924,Aluminum,0,0,
1e1216bb-7a57-4652-adb5-2002d71ed03d-000dddce,"36"" x 84"" (Cores)",507C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1273190377,14.525625,4.467225,13.8684,15.636875,5.483225,16.0528,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021f193,0.5682730924,Aluminum,0,0,
