id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd152,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,,1.624952532,1.0906125,0.622681,17.2339,12.573,0.889381,17.78,1.0906125,0.756031,12.573,0.756031,11.4823875,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd153,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,,0.82634894,1.2176125,5.715381,17.2339,7.070725,5.982081,17.78,1.2176125,5.848731,7.070725,5.848731,5.8531125,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd154,"Soffit - Beam Wrap 9 1/4"" (One Side)",,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,,0.7169750177,1.397,12.528931,17.2339,6.985,12.763881,17.78,1.397,12.646406,6.985,12.646406,5.588,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,0.5461,Metal Stud Layer,0.23495
525bb0a5-314c-4504-9c05-71eb18250f5b-001fd1ac,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,,0.7281755759,7.5946,5.715381,1.7272,12.2682,5.982081,2.3114,7.5946,5.848731,12.2682,5.848731,4.6736,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,0.5842,Metal Stud Layer,0.2667
525bb0a5-314c-4504-9c05-71eb18250f5b-001fd23e,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,,0.4759615155,7.264521198,12.528931,1.7653,12.27455,12.732131,2.3114,7.264521198,12.646406,12.27455,12.646406,5.010028802,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,0.5461,Metal Stud Layer,0.23495
525bb0a5-314c-4504-9c05-71eb18250f5b-001fd29d,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,,0.4529951236,12.827,12.528931,1.7653,18.50201726,12.732131,2.3114,12.827,12.646406,18.50201726,12.646406,5.675017265,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,0.5461,Metal Stud Layer,0.23495
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd2e9,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.7811068168,15.6225875,-4.012819,5.0038,20.6756,-3.746119,5.588,15.6225875,-3.879469,20.6756,-3.879469,5.0530125,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd348,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.5637139976,15.662275,0.622681,5.0038,19.33429739,0.889381,5.588,15.662275,0.756031,19.33429739,0.756031,3.672022386,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd349,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,1.015397678,12.8778,5.715381,5.0038,19.39485817,5.982081,5.588,12.8778,5.848731,19.39485817,5.848731,6.517058173,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd4bb,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.6468456811,7.51205,5.715381,5.0038,12.2682,5.982081,5.588,7.51205,5.848731,12.2682,5.848731,4.75615,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd4bc,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.4609215711,7.5946,12.528931,5.0419,12.2682,12.732131,5.588,7.5946,12.646406,12.2682,12.646406,4.6736,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5461,Metal Stud Layer,0.23495
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd4ef,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.5543605854,12.827,12.528931,5.0419,18.50201726,12.732131,5.588,12.827,12.646406,18.50201726,12.646406,5.675017265,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5461,Metal Stud Layer,0.23495
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd518,Soffit - Beam Wrap (Both Sides),,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,,0.8142311863,1.0922,0.6270625,9.1059,6.985,0.8937625,9.652,1.0922,0.7604125,6.985,0.7604125,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,0.5461,Metal Stud Layer,0.2667
40ff175d-8ba4-4d89-aab6-c82ffb7b2f8f-001fd550,Soffit - Beam Wrap (Both Sides),,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,,0.6728997366,7.5946,0.6270625,9.1059,12.3809125,0.8937625,9.652,7.5946,0.7604125,12.3809125,0.7604125,4.7863125,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,0.5461,Metal Stud Layer,0.2667
