id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height
wn-13,"50"" x 60""",109,lv-2,,,0.8255,0.09147935515,-8.759825,12.677775,6.486567629,-7.350125,13.29302547,8.14705,w-706,0.1273545197,Glass,0,0
wn-14,"50"" x 60""",110,lv-2,,,0.8255,0.09147935515,-4.949825,12.677775,6.486567629,-3.540125,13.29302547,8.14705,w-706,0.2503033722,Glass,0,0
wn-15,"50"" x 60""",114,lv-2,,,0.8255,0.09147935515,10.290175,12.677775,6.486567629,11.699875,13.29302547,8.14705,w-706,0.7420987821,Glass,0,0
wn-16,"50"" x 60""",116,lv-2,,,0.8255,0.09147935515,7.750175,12.677775,6.486567629,9.159875,13.29302547,8.14705,w-706,0.6601328805,Glass,0,0
wn-17,"50"" x 60""",117,lv-2,,,0.8255,0.09147935515,12.830175,12.677775,6.486567629,14.239875,13.29302547,8.14705,w-706,0.8240646838,Glass,0,0
wn-18,"50"" x 60""",118,lv-2,,,0.8255,0.09147935515,16.640175,12.677775,6.486567629,18.049875,13.29302547,8.14705,w-706,0.9470135363,Glass,0,0
wn-19,"50"" x 60""",119,lv-4,,,1.0541,0.09147935515,-11.299825,12.677775,3.438567629,-9.890125,13.29302547,5.09905,w-706,0.04538861804,Glass,0,0
wn-20,"50"" x 60""",120,lv-4,,,1.0541,0.09147935515,-8.759825,12.677775,3.438567629,-7.350125,13.29302547,5.09905,w-706,0.1273545197,Glass,0,0
wn-21,"50"" x 60""",122,lv-4,,,1.0541,0.09147935515,-3.679825,12.677775,3.438567629,-2.270125,13.29302547,5.09905,w-706,0.291286323,Glass,0,0
wn-22,"50"" x 60""",125,lv-4,,,1.0541,0.09147935515,10.290175,12.677775,3.438567629,11.699875,13.29302547,5.09905,w-706,0.7420987821,Glass,0,0
wn-23,"50"" x 60""",126,lv-4,,,1.0541,0.09147935515,-1.139825,12.677775,3.438567629,0.269875,13.29302547,5.09905,w-706,0.3732522247,Glass,0,0
wn-24,"50"" x 60""",127,lv-4,,,1.0541,0.09147935515,7.750175,12.677775,3.438567629,9.159875,13.29302547,5.09905,w-706,0.6601328805,Glass,0,0
wn-25,"50"" x 60""",130,lv-6,,,0.9144,0.09147935515,-23.53945,12.677775,14.70346763,-22.12975,13.29302547,16.36395,w-39,0.5004135649,Glass,0,0
wn-26,"50"" x 60""",131,lv-6,,,0.9144,0.09147935515,-19.72945,12.677775,14.70346763,-18.31975,13.29302547,16.36395,w-39,0.7485525227,Glass,0,0
wn-27,"50"" x 60""",135,lv-6,,,0.9144,0.09147935515,-26.07945,12.677775,14.70346763,-24.66975,13.29302547,16.36395,w-39,0.3349875931,Glass,0,0
wn-28,"50"" x 80""",138,lv-16,,,1.0668,0.07814581145,-24.80945,12.677775,2.663867629,-23.39975,13.17612035,4.83235,w-39,0.417700579,Glass,0,0
wn-29,"50"" x 80""",141,lv-16,,,1.0668,0.07814581145,-26.82875,12.677775,2.663867629,-25.41905,13.17612035,4.83235,w-39,0.2861869313,Glass,0,0
wn-30,"50"" x 60""",147,lv-2,,,0.8255,0.09147935515,-24.80945,12.677775,6.486567629,-23.39975,13.29302547,8.14705,w-39,0.417700579,Glass,0,0
wn-31,"50"" x 60""",148,lv-5,,,0.9144,0.09147935515,-23.53945,12.677775,10.63946763,-22.12975,13.29302547,12.29995,w-39,0.5004135649,Glass,0,0
wn-32,"50"" x 60""",149,lv-5,,,0.9144,0.09147935515,-19.72945,12.677775,10.63946763,-18.31975,13.29302547,12.29995,w-39,0.7485525227,Glass,0,0
wn-33,"39"" x 76"" (Solar Wall)",158,lv-6,,,0.6858,0.08238801264,-30.24328743,-2.400625907,14.47486763,-28.92805962,-1.302805202,16.54175,w-309,0.2739317654,Glass,0,0
wn-34,"39"" x 76"" (Solar Wall)",159,lv-6,,,0.6858,0.08238801264,-32.05063746,-1.577023364,14.47486763,-30.73540964,-0.4792026585,16.54175,w-309,0.6883487909,Glass,0,0
wn-35,"39"" x 76"" (Solar Wall)",160,lv-6,,,0.6858,0.07637498435,-12.24567177,-1.483560933,14.47486763,-10.96138538,-0.453639465,16.54175,w-320,0.6883487909,Glass,0,0
wn-36,"39"" x 76"" (Solar Wall)",161,lv-6,,,0.6858,0.07637498435,8.681536597,-1.795144632,14.47486763,9.965822985,-0.7652231643,16.54175,w-324,0.6079822822,Glass,0,0
wn-37,"39"" x 76"" (Solar Wall)",167,lv-6,,,0.6858,0.08238801264,-23.65102934,-2.390093274,14.47486763,-22.33580153,-1.292272569,16.54175,w-312,0.2739317654,Glass,0,0
wn-38,"39"" x 76"" (Solar Wall)",168,lv-6,,,0.6858,0.08238801264,-25.45837937,-1.56649073,14.47486763,-24.14315156,-0.4686700253,16.54175,w-312,0.6883487909,Glass,0,0
wn-39,"39"" x 76"" (Solar Wall)",173,lv-6,,,0.6858,0.08238801264,-17.05877126,-2.379560641,14.47486763,-15.74354345,-1.281739936,16.54175,w-314,0.2739317654,Glass,0,0
wn-40,"39"" x 76"" (Solar Wall)",174,lv-6,,,0.6858,0.08238801264,-18.86612129,-1.555958097,14.47486763,-17.55089347,-0.4581373921,16.54175,w-314,0.6883487909,Glass,0,0
wn-41,"39"" x 76"" (Solar Wall)",184,lv-2,,,1.0922,0.09920114031,-32.64083863,-2.872187043,6.753267629,-31.24102242,-1.588741802,8.82015,w-338,0.6883487909,Glass,0,0
wn-42,"39"" x 76"" (Solar Wall)",185,lv-2,,,1.0922,0.09920114031,-30.8334886,-3.695789586,6.753267629,-29.43367239,-2.412344346,8.82015,w-338,0.2739317654,Glass,0,0
wn-43,"39"" x 76"" (Solar Wall)",186,lv-5,,,0.889,0.09920114031,-32.34852736,-2.230726209,10.61406763,-30.94871115,-0.947280969,12.68095,w-339,0.6883487909,Glass,0,0
wn-44,"39"" x 76"" (Solar Wall)",187,lv-5,,,0.889,0.09920114031,-30.54117733,-3.054328753,10.61406763,-29.14136113,-1.770883513,12.68095,w-339,0.2739317654,Glass,0,0
wn-45,"39"" x 76"" (Solar Wall)",169,lv-2,,,1.0922,0.09920114031,-26.04858054,-2.861654409,6.753267629,-24.64876433,-1.578209169,8.82015,w-344,0.6883487909,Glass,0,0
wn-46,"39"" x 76"" (Solar Wall)",170,lv-2,,,1.0922,0.09920114031,-24.24123052,-3.685256953,6.753267629,-22.84141431,-2.401811713,8.82015,w-344,0.2739317654,Glass,0,0
wn-47,"39"" x 76"" (Solar Wall)",171,lv-5,,,0.889,0.09920114031,-25.75626928,-2.220193576,10.61406763,-24.35645307,-0.9367483358,12.68095,w-345,0.6883487909,Glass,0,0
wn-48,"39"" x 76"" (Solar Wall)",172,lv-5,,,0.889,0.09920114031,-23.94891925,-3.04379612,10.61406763,-22.54910304,-1.76035088,12.68095,w-345,0.2739317654,Glass,0,0
wn-49,"39"" x 76"" (Solar Wall)",176,lv-2,,,1.0922,0.09920114031,-19.45632246,-2.851121776,6.753267629,-18.05650625,-1.567676536,8.82015,w-350,0.6883487909,Glass,0,0
wn-50,"39"" x 76"" (Solar Wall)",177,lv-2,,,1.0922,0.09920114031,-17.64897243,-3.67472432,6.753267629,-16.24915622,-2.39127908,8.82015,w-350,0.2739317654,Glass,0,0
wn-51,"39"" x 76"" (Solar Wall)",178,lv-5,,,0.889,0.09920114031,-19.16401119,-2.209660943,10.61406763,-17.76419498,-0.9262157026,12.68095,w-351,0.6883487909,Glass,0,0
wn-52,"39"" x 76"" (Solar Wall)",179,lv-5,,,0.889,0.09920114031,-17.35666116,-3.033263487,10.61406763,-15.95684496,-1.749818246,12.68095,w-351,0.2739317654,Glass,0,0
wn-53,"50"" x 98""",180,lv-2,,,0.52705,0.08911080565,2.1209,-9.374580065,6.188117629,3.5179,-8.9662,8.8011,w-356,0.1504008847,Glass,0,0
wn-54,"50"" x 98""",181,lv-2,,,0.5207,0.08911080565,3.8481,-9.374580065,6.181767629,5.2451,-8.9662,8.79475,w-356,0.3008017694,Glass,0,0
wn-55,"50"" x 80""",182,lv-16,,,1.0668,0.07814581145,-29.88945,12.677775,2.663867629,-28.47975,13.17612035,4.83235,w-39,0.08684863524,Glass,0,0
wn-56,"50"" x 80""",183,lv-16,,,1.0668,0.07814581145,-23.04415,12.677775,2.663867629,-21.63445,13.17612035,4.83235,w-39,0.5326716294,Glass,0,0
wn-57,Schematic Opening Cut,111,lv-4,,,0.9398,0,-8.302625,-8.582025,3.4036,-7.210425,-8.026734834,5.5372,w-594,0.1547459252,,1.0922,1.9304
wn-58,Schematic Opening Cut,112,lv-4,,,0.9398,0,-10.283825,-8.582025,3.4036,-9.191625,-8.026734834,5.5372,w-594,0.3940556088,,1.0922,1.9304
wn-59,Schematic Opening Cut,113,lv-4,,,0.9398,0,-12.265025,-8.582025,3.4036,-11.172825,-8.026734834,5.5372,w-594,0.6333652924,,1.0922,1.9304
wn-60,Schematic Opening Cut,115,lv-4,,,0.9398,0,-14.246225,-8.582025,3.4036,-13.154025,-8.026734834,5.5372,w-594,0.872674976,,1.0922,1.9304
wn-61,Schematic Opening Cut,121,lv-2,,,0.6477,0,-8.302625,-8.587734025,6.3881,-7.210425,-8.032443859,8.9281,w-600,0.1547459252,,1.0922,2.4384
wn-62,Schematic Opening Cut,123,lv-2,,,0.6477,0,-10.283825,-8.587734025,6.3881,-9.191625,-8.032443859,8.9281,w-600,0.3940556088,,1.0922,2.4384
wn-63,Schematic Opening Cut,124,lv-2,,,0.6477,0,-12.265025,-8.587734025,6.3881,-11.172825,-8.032443859,8.9281,w-600,0.6333652924,,1.0922,2.4384
wn-64,Schematic Opening Cut,128,lv-2,,,0.6477,0,-14.246225,-8.587734025,6.3881,-13.154025,-8.032443859,8.9281,w-600,0.872674976,,1.0922,2.4384
wn-65,Schematic Opening Cut,129,lv-5,,,0.3302,0,-8.328025,-8.587734025,10.1346,-7.235825,-8.032443859,12.7127,w-603,0.1578139981,,1.0922,2.032
wn-66,Schematic Opening Cut,132,lv-5,,,0.3302,0,-10.309225,-8.587734025,10.1346,-9.217025,-8.032443859,12.7127,w-603,0.3971236817,,1.0922,2.032
wn-67,Schematic Opening Cut,134,lv-5,,,0.3302,0,-12.265025,-8.587734025,10.1346,-11.172825,-8.032443859,12.7127,w-603,0.6333652924,,1.0922,2.032
wn-68,Schematic Opening Cut,136,lv-5,,,0.3302,0,-14.246225,-8.587734025,10.1346,-13.154025,-8.032443859,12.7127,w-603,0.872674976,,1.0922,2.032
wn-69,Schematic Opening Cut,139,lv-4,,,1.8542,0,-3.0734,-8.626475,4.318,-2.0066,-8.071184834,7.112,w-648,0.4999630424,,1.0668,2.5908
wn-70,Schematic Opening Cut,140,lv-4,,,1.8542,0,-4.0513,-8.626475,4.318,-3.3655,-8.071184834,7.112,w-648,0.7719713209,,0.6858,2.5908
wn-71,Schematic Opening Cut,143,lv-4,,,1.8542,0,-1.7145,-8.626475,4.318,-1.0287,-8.071184834,7.112,w-648,0.2279547638,,0.6858,2.5908
wn-72,Schematic Opening Cut,145,lv-4,,,2.413,0,-5.7658,-8.867775,4.8768,-4.8006,-8.312484834,7.1628,w-649,0.4469606675,,0.9652,2.0828
wn-73,Schematic Opening Cut,152,lv-4,,,2.413,0,-0.2794,-8.867775,4.8768,0.6858,-8.312484834,7.1628,w-653,0.4471990465,,0.9652,2.0828
wn-74,Schematic Opening Cut,153,lv-5,,,0.381,0,-0.5588,-9.178925,10.1854,0.5334,-8.623634834,12.6619,w-656,0.8446428571,,1.0922,1.9304
wn-75,Schematic Opening Cut,154,lv-5,,,0.381,0,-5.6134,-9.178925,10.1854,-4.5212,-8.623634834,12.6619,w-656,0.1339285714,,1.0922,1.9304
wn-76,Schematic Opening Cut,155,lv-5,,,0.381,0,-3.8354,-9.178925,10.1854,-2.7432,-8.623634834,12.6619,w-656,0.3839285714,,1.0922,1.9304
wn-77,Schematic Opening Cut,156,lv-5,,,0.381,0,-2.3368,-9.178925,10.1854,-1.2446,-8.623634834,12.6619,w-656,0.5946428571,,1.0922,1.9304
wn-78,Schematic Opening Cut,157,lv-6,,,0.86995,0,-0.14605,-9.178925,14.73835,0.40005,-8.623634834,16.09725,w-656,0.8642857143,,0.5461,1.2065
wn-79,Schematic Opening Cut,162,lv-6,,,0.86995,0,-1.46685,-9.178925,14.73835,-0.92075,-8.623634834,16.09725,w-656,0.6785714286,,0.5461,1.2065
wn-80,Schematic Opening Cut,163,lv-6,,,0.86995,0,-4.15925,-9.178925,14.73835,-3.61315,-8.623634834,16.09725,w-656,0.3,,0.5461,1.2065
wn-81,Schematic Opening Cut,164,lv-6,,,0.86995,0,-5.48005,-9.178925,14.73835,-4.93395,-8.623634834,16.09725,w-656,0.1142857143,,0.5461,1.2065
wn-82,"50"" x 98""",188,lv-2,,,0.52705,0.08911080565,5.5753,-9.374580065,6.188117629,6.9723,-8.9662,8.8011,w-356,0.4512026541,Glass,0,0
wn-83,"50"" x 98""",189,lv-2,,,0.52705,0.08911080565,7.7089,-9.374580065,6.188117629,9.1059,-8.9662,8.8011,w-356,0.6369919823,Glass,0,0
wn-84,"50"" x 98""",190,lv-2,,,0.52705,0.08911080565,9.4361,-9.374580065,6.188117629,10.8331,-8.9662,8.8011,w-356,0.787392867,Glass,0,0
wn-85,"50"" x 98""",191,lv-2,,,0.52705,0.08911080565,11.1125,-9.374580065,6.188117629,12.5095,-8.9662,8.8011,w-356,0.9333701963,Glass,0,0
wn-86,Schematic Opening Cut,198,lv-5,,,0.7366,0,2.3622,-9.166225,10.541,3.4544,-8.610934834,13.1191,w-658,0.1581421067,,1.0922,2.032
wn-87,Schematic Opening Cut,199,lv-5,,,0.7366,0,3.9878,-9.166225,10.541,5.08,-8.610934834,13.1191,w-658,0.2996958806,,1.0922,2.032
wn-88,Schematic Opening Cut,200,lv-5,,,0.7366,0,5.6134,-9.166225,10.541,6.7056,-8.610934834,13.1191,w-658,0.4412496544,,1.0922,2.032
wn-89,Schematic Opening Cut,201,lv-5,,,0.7366,0,7.9756,-9.166225,10.541,9.0678,-8.610934834,13.1191,w-658,0.646944982,,1.0922,2.032
wn-90,Schematic Opening Cut,202,lv-5,,,0.7366,0,9.6012,-9.166225,10.541,10.6934,-8.610934834,13.1191,w-658,0.7884987559,,1.0922,2.032
wn-91,Schematic Opening Cut,203,lv-5,,,0.7366,0,11.2268,-9.166225,10.541,12.319,-8.610934834,13.1191,w-658,0.9300525297,,1.0922,2.032
wn-92,"50"" x 98""",204,lv-2,,,0.52705,0.08911080565,16.19381589,-8.896855041,6.188117629,17.63216865,-8.309623634,8.8011,w-662,0.487827561,Glass,0,0
wn-93,"50"" x 98""",205,lv-2,,,0.52705,0.08911080565,17.90623945,-8.671410202,6.188117629,19.34459222,-8.084178795,8.8011,w-662,0.6860060673,Glass,0,0
wn-94,"50"" x 98""",206,lv-2,,,0.52705,0.08911080565,19.61866301,-8.445965362,6.188117629,21.05701578,-7.858733955,8.8011,w-662,0.8841845737,Glass,0,0
wn-95,"74"" x 98""",207,lv-2,,,0.52705,0.1416152148,13.37335354,-9.268175952,6.188117629,15.4160911,-8.601375779,8.8011,w-662,0.196388581,Glass,0,0
wn-96,Schematic Opening Cut,212,lv-5,,,0.7366,0,14.52603542,-8.903745034,10.541,15.68137141,-8.210644745,13.1191,w-666,0.2826958106,,1.0922,2.032
wn-97,Schematic Opening Cut,213,lv-5,,,0.7366,0,16.43992058,-8.651777273,10.541,17.59525657,-7.958676984,13.1191,w-666,0.5041894353,,1.0922,2.032
wn-98,Schematic Opening Cut,214,lv-5,,,0.7366,0,18.02643065,-8.44290926,10.541,19.18176664,-7.749808971,13.1191,w-666,0.6877959927,,1.0922,2.032
wn-99,Schematic Opening Cut,215,lv-5,,,0.7366,0,19.61294072,-8.234041247,10.541,20.7682767,-7.540940958,13.1191,w-666,0.8714025501,,1.0922,2.032
wn-100,Schematic Opening Cut,216,lv-5,,,0.7366,0,13.01507345,-9.102666951,10.541,14.17040944,-8.409566662,13.1191,w-666,0.1078324226,,1.0922,2.032
wn-101,Schematic Opening Cut,217,lv-2,,,2.4384,0,-0.0508,-8.867775,8.1788,0.5588,-8.312484834,9.0424,w-653,0.4853396901,,0.6096,0.6604
wn-102,Schematic Opening Cut,218,lv-2,,,2.4384,0,-5.6388,-8.867775,8.1788,-5.0292,-8.312484834,9.0424,w-649,0.4851013111,,0.6096,0.6604
wn-103,"22"" x 24""",220,lv-2,,,2.4638,0.01624496607,-5.63245,-9.551008543,8.18515,-5.03555,-8.959209025,8.877883458,w-693,0.5,Birch,0,0
wn-104,"22"" x 24""",225,lv-2,,,2.4638,0.01624496607,-0.04445,-9.551008543,8.18515,0.55245,-8.959209025,8.877883458,w-694,0.5,Birch,0,0
wn-105,"50"" x 60""",192,lv-2,,,0.8255,0.09147935515,-27.34945,12.677775,6.486567629,-25.93975,13.29302547,8.14705,w-39,0.2522746071,Glass,0,0
wn-106,"50"" x 60""",90,lv-2,,,0.8255,0.09147935515,-2.409825,12.677775,6.486567629,-1.000125,13.29302547,8.14705,w-706,0.3322692738,Glass,0,0
