id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,top_level_id,top_offset,height,material,shape,size_x,size_y
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014dec3,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.4269719734,12.2682,12.3317,9.8044,12.8778,12.9413,13.716,12.573,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e1a5,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.8440699369,19.39485817,5.5499,5.7404,20.00445817,6.1595,9.652,19.69965817,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e1a6,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.6530172153,20.06532485,0.4572,5.7404,20.67492485,1.0668,9.8044,20.37012485,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,0,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e1a7,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.8440699369,20.6756,-4.1783,5.7404,21.2852,-3.5687,9.652,20.9804,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e29f,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.5053540589,18.50201726,12.3317,5.7404,19.11161726,12.9413,9.652,18.80681726,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e472,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.8440699369,19.39485817,5.5499,9.8044,20.00445817,6.1595,13.716,19.69965817,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e473,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.6530172153,20.06532485,0.4572,9.8044,20.67492485,1.0668,13.8684,20.37012485,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e474,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.8440699369,20.6756,-4.1783,9.8044,21.2852,-3.5687,13.716,20.9804,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Default Wall,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e475,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.5053540589,18.50201726,12.3317,9.8044,19.11161726,12.9413,13.716,18.80681726,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e4a7,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.8440699369,19.39485817,5.5499,13.8684,20.00445817,6.1595,17.78,19.69965817,5.8547,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
36de279c-6ddc-45ad-b647-1db9bf66c1c8-0014e4aa,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.5456956583,18.50201726,12.3317,13.8684,19.11161726,12.9413,17.78,18.80681726,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
71b206f2-cc5b-4687-bf36-3dc7f8d4a6f9-0014e8c3,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,1.419381935,6.985,-8.6995,9.8044,7.5946,-8.0899,13.8684,7.2898,-8.3947,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014ee84,"24""D x 22""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.5358416299,12.2682,5.5499,9.8044,12.827,6.1595,13.716,12.573,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014eedd,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.7419407097,-6.477,5.5499,9.8044,-5.8674,6.1595,13.716,-6.1722,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014f08c,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.4777648509,-6.477,12.3317,9.8044,-5.8674,12.9413,13.8684,-6.1722,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014f0a3,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.9009280046,-21.6408,12.3317,9.8044,-21.0312,12.9413,13.716,-21.336,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014f0dc,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.8425650665,-27.9781,12.3317,9.8044,-27.3685,12.9413,13.716,-27.6733,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,,Gypsum Wall Board,,,
2f05709e-a8e4-49f2-ac3c-d91fee38011c-0014f158,"32""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.8155598221,-33.9852,0.254,9.8044,-33.3756,1.0668,13.8684,-33.6804,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f184,"32""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.8155598221,-33.9852,0.254,13.8684,-33.3756,1.0668,17.9324,-33.6804,0.762,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,0,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f1b7,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.8425650665,-27.9781,12.3317,13.8684,-27.3685,12.9413,17.78,-27.6733,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f1ce,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.9009280046,-21.6408,12.3317,13.8684,-21.0312,12.9413,17.78,-21.336,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f1e1,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.459848669,-6.477,12.3317,13.8684,-5.8674,12.9413,17.78,-6.1722,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
