id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area
sp-30,Corridor 402,,lv-5,,,,,-11.998325,0.8382,9.8044,17.04879811,5.673725,13.716,"[[-5.8674,0.89535],[0.7874,0.89535],[0.7874,1.0668],[1.397,1.0668],[1.397,0.8382],[6.985,0.8382],[6.985,1.0668],[7.5946,1.0668],[7.5946,0.8382],[12.341225,0.8382],[12.341225,0.955675],[15.662275,0.955675],[15.662275,0.8382],[17.04879811,0.8382],[17.04879811,2.667],[12.573,2.667],[2.8114625,2.667],[0.942975,2.667],[0.942975,4.1275],[0.942975,5.673725],[-1.3843,5.673725],[-1.3843,2.667],[-6.1722,2.667],[-11.998325,2.667],[-11.998325,0.8382],[-6.477,0.8382],[-6.477,1.0668],[-5.8674,1.0668]]",
sp-31,Live/Work Unit 403,,lv-5,,,,,-14.944725,-8.419459025,9.8044,-6.321425,0.682625,13.716,"[[-6.321425,-3.6449],[-6.321425,0.4572],[-6.477,0.4572],[-6.477,0.682625],[-12.068175,0.682625],[-14.6558,0.682625],[-14.6558,0.4572],[-14.944725,0.4572],[-14.944725,-2.077202215],[-14.944725,-2.633075573],[-14.944725,-3.5687],[-14.7066,-3.5687],[-14.7066,-4.1783],[-14.944725,-4.1783],[-14.944725,-7.94385],[-14.70025,-7.94385],[-14.70025,-8.419459025],[-6.477,-8.419459025],[-6.477,-8.0899],[-6.321425,-8.0899],[-6.321425,-4.1021],[-6.429375,-4.1021],[-6.429375,-3.6449]]",
sp-32,Studio Unit 404,,lv-5,,,,,-11.922125,2.822575,9.8044,-6.321425,12.709525,13.716,"[[-6.321425,6.1595],[-6.321425,12.3317],[-6.477,12.3317],[-6.477,12.709525],[-11.922125,12.709525],[-11.922125,5.6626125],[-11.922125,2.822575],[-6.321425,2.822575],[-6.321425,5.5499],[-6.477,5.5499],[-6.477,6.1595]]",
sp-33,Live/Work Unit 407,,lv-5,,,,,1.241425,-8.99795,9.8044,12.42695,0.682625,13.716,"[[1.241425,0.4572],[1.241425,-3.5687],[1.349375,-3.5687],[1.349375,-4.1783],[1.241425,-4.1783],[1.241425,-8.0899],[1.397,-8.0899],[1.397,-8.534019],[6.985,-8.534019],[6.985,-8.0899],[7.5946,-8.0899],[7.5946,-8.534019],[12.2682,-8.534019],[12.2682,-8.0899],[12.42695,-8.0899],[12.42695,-6.365875],[12.341225,-6.365875],[12.341225,0.682625],[7.5946,0.682625],[7.5946,0.4572],[6.985,0.4572],[6.985,0.682625],[1.397,0.682625],[1.397,0.4572]]",
sp-34,Live/Work Unit 408,,lv-5,,,,,1.241425,2.822575,9.8044,12.423775,12.709525,13.716,"[[1.241425,12.3317],[1.241425,8.5613875],[1.273175,8.5613875],[1.273175,7.2278875],[2.873375,7.2278875],[2.873375,6.1595],[2.873375,4.1275],[2.873375,4.0497125],[2.873375,4.048117228],[2.873375,2.822575],[12.423775,2.822575],[12.423775,5.5499],[12.2682,5.5499],[12.2682,6.1595],[12.423775,6.1595],[12.423775,12.3317],[12.2682,12.3317],[12.2682,12.709525],[7.5946,12.709525],[7.5946,12.3317],[6.985,12.3317],[6.985,12.709525],[1.397,12.709525],[1.397,12.3317]]",
sp-35,Live/Work Unit 409,,lv-5,,,,,12.7254,-8.960554467,9.8044,21.51104956,0.682625,13.716,"[[21.51104956,-7.530622474],[21.50441883,-7.480257075],[21.06970794,-4.1783],[20.6756,-4.1783],[20.6756,-3.5687],[20.98945257,-3.5687],[20.7039905,-1.400400319],[20.45943278,0.4572],[20.06532485,0.4572],[20.06532485,0.682625],[19.33429739,0.682625],[17.12658561,0.682625],[15.662275,0.682625],[15.662275,-6.365875],[12.7254,-6.365875],[12.7254,-8.0899],[12.8778,-8.0899],[12.8778,-8.6995],[12.8778,-8.960554467],[21.23737505,-7.859995533],[21.19941366,-7.571650119]]",
sp-36,Live/Work Unit 410,,lv-5,,,,,12.722225,0.8382,9.8044,20.26548232,12.709525,13.716,"[[20.26548232,1.9304],[19.78896611,5.5499],[19.39485817,5.5499],[19.39485817,6.1595],[19.70871075,6.1595],[19.26033096,9.565282635],[18.8961252,12.3317],[18.50201726,12.3317],[18.50201726,12.709525],[12.8778,12.709525],[12.8778,12.3317],[12.722225,12.3317],[12.722225,6.1595],[12.827,6.1595],[12.827,5.5499],[12.722225,5.5499],[12.722225,2.822575],[17.20437311,2.822575],[17.20437311,0.8382],[19.28032239,0.8382],[19.28032239,1.9304]]",
sp-37,Office Unit 501,,lv-6,,,,,-33.664525,-1.651451171,13.8684,-14.10335,12.709525,17.78,"[[-21.6408,12.709525],[-27.3685,12.709525],[-27.3685,12.3317],[-27.94,12.3317],[-27.94,10.531475],[-27.46375,10.531475],[-27.46375,7.604125],[-30.286325,7.604125],[-30.286325,5.622925],[-33.664525,5.622925],[-33.664525,1.0668],[-33.3756,1.0668],[-33.3756,0.2694378077],[-32.59000476,0.2694378077],[-32.44314742,0.2694378077],[-32.42706675,0.2621099077],[-32.42706675,0.2694378077],[-32.34001206,0.2694378077],[-32.34001206,0.222439413],[-28.22786327,-1.651451171],[-27.09033889,0.8447828957],[-26.79853375,0.7118084017],[-25.85088934,0.2799704408],[-21.63560519,-1.640918537],[-20.4980808,0.8553155289],[-20.20627567,0.7223410349],[-19.25863125,0.290503074],[-15.0433471,-1.630385904],[-14.10335,0.4323855186],[-14.10335,0.8181334343],[-14.10335,2.667],[-15.243175,2.667],[-15.243175,5.6340375],[-15.243175,12.709525],[-21.0312,12.709525],[-21.0312,12.3317],[-21.6408,12.3317]]",
sp-38,Corridor 502,,lv-6,,,,,-11.75791298,-1.619853271,13.8684,15.5067,5.673725,17.78,"[[11.89999283,-0.8262893743],[12.341225,-0.8262893743],[12.341225,0.955675],[15.5067,0.955675],[15.5067,2.667],[12.573,2.667],[2.8114625,2.667],[0.942975,2.667],[0.942975,4.1275],[0.942975,5.673725],[-1.778,5.673725],[-1.778,2.667],[-6.1722,2.667],[-11.06805,2.667],[-11.06805,1.400919837],[-11.75791298,-0.112946149],[-8.451089019,-1.619853271],[-7.885101452,-0.377825],[-6.34365,-0.377825],[-6.34365,0.4572],[-6.477,0.4572],[-6.477,1.0668],[-5.8674,1.0668],[-5.8674,0.84455],[0.7874,0.84455],[0.7874,1.0668],[1.397,1.0668],[1.397,0.4572],[1.26365,0.4572],[1.26365,-0.377825],[2.223168732,-0.377825],[2.894332827,1.095007318],[6.453777699,-0.5270181932],[6.892901142,0.4366138075],[6.959388389,0.5825163773],[7.183206845,1.073673543],[7.652575633,0.8597839687],[7.428757178,0.3686268028],[8.2608352,-0.01054799207],[11.58204407,-1.524010261],[11.82250157,-0.9963396273]]",
sp-39,Green Roof 503,,lv-6,,,,,-14.995525,-8.2423,13.8684,-6.34365,0.4410685284,21.4884,"[[-6.34365,-6.023204513],[-8.264129403,-4.000983774],[-8.703901042,-3.168759192],[-13.2943064,-1.0769289],[-12.79934766,0.009230567525],[-13.74699207,0.4410685284],[-14.75154196,-1.763360398],[-14.99392973,-2.295266879],[-14.995525,-2.295266879],[-14.995525,-2.636757506],[-11.49776297,-5.014616056],[-9.5967418,-7.523810329],[-7.631115786,-8.2423],[-6.58495,-8.2423],[-6.58495,-8.028934025],[-6.34365,-8.028934025],[-6.34365,-7.671442661]]",
sp-40,Studio Unit 504,,lv-6,,,,,-11.922125,2.822575,13.8684,-6.321425,12.709525,17.78,"[[-11.922125,2.822575],[-11.1379,2.822575],[-6.321425,2.822575],[-6.321425,5.5499],[-6.477,5.5499],[-6.477,6.1595],[-6.321425,6.1595],[-6.321425,12.3317],[-6.477,12.3317],[-6.477,12.709525],[-11.922125,12.709525],[-11.922125,5.6626125]]",
sp-41,Green Roof 505,,lv-6,,,,,1.26365,-8.981434025,13.8684,16.58794973,0.1366714772,21.4884,"[[1.26365,-4.130770341],[4.298326328,-8.981434025],[12.46133596,-8.981434025],[16.58794973,-8.438155015],[13.89055483,-7.269740262],[12.47243828,-6.423025],[12.284075,-6.423025],[12.284075,-6.236045147],[11.29420462,-4.351405207],[11.28143215,-3.051133952],[7.632901961,-1.3885126],[8.127860706,-0.3023531318],[7.246666967,0.09920350865],[7.164445592,0.1366714772],[6.791809396,-0.6810579536],[6.163876157,-2.059022561],[2.558204727,-0.4159317833],[2.429439464,-0.6985],[1.26365,-0.6985],[1.26365,-1.20806056],[1.26365,-2.2938353]]",
sp-42,Live/Work Unit 506,,lv-6,,,,,1.241425,2.822575,13.8684,12.423775,12.709525,17.78,"[[1.241425,12.3317],[1.241425,8.5613875],[1.273175,8.5613875],[1.273175,7.2278875],[2.873375,7.2278875],[2.873375,6.1595],[2.873375,4.1275],[2.873375,4.0497125],[2.873375,4.048117228],[2.873375,2.822575],[12.423775,2.822575],[12.423775,5.5499],[12.2682,5.5499],[12.2682,6.1595],[12.423775,6.1595],[12.423775,12.3317],[12.2682,12.3317],[12.2682,12.709525],[7.5946,12.709525],[7.5946,12.3317],[6.985,12.3317],[6.985,12.709525],[1.397,12.709525],[1.397,12.3317]]",
