id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1565,Copper,,lv-5,,,,2.293676563E-05,9.5234125,12.709525,-0.6048375,9.5392875,12.8254125,-0.5889625,9.53135,12.709525,9.53135,12.8254125,0.1158875,-0.5969,-0.5969,,,,plumbing,,
pi-1566,Copper,,lv-5,,,,4.335991311E-05,9.5234125,12.8317625,-0.8302625,9.5392875,12.8476375,-0.6111875,9.53135,12.8397,9.53135,12.8397,0.219075,-0.6111875,-0.8302625,,,,plumbing,,
pi-1567,Copper,,lv-5,,,,2.341435308E-05,6.4119125,12.6190375,-0.2032,6.4404875,12.6476125,-0.1666875,6.4262,12.633325,6.4262,12.633325,0.0365125,-0.2032,-0.1666875,,,,plumbing,,
pi-1568,Copper,,lv-5,,,,7.126107458E-05,6.4119125,12.6190375,-0.1127125,6.4404875,12.6476125,-0.0015875,6.4262,12.633325,6.4262,12.633325,0.111125,-0.0015875,-0.1127125,,,,plumbing,,
pi-1569,Copper,,lv-5,,,,0.0001972994315,-6.1087,1.6271875,-0.6048375,-6.092825,2.624038505,-0.5889625,-6.1007625,2.624038505,-6.1007625,1.6271875,0.9968510049,-0.5969,-0.5969,,,,plumbing,,
pi-1570,Copper,,lv-5,,,,6.528346631E-06,-6.086476533,2.636738505,-0.8588375,-6.05348914,2.652619877,-0.8429625,-6.053490674,2.644682377,-6.086475,2.644676005,0.03298432667,-0.8509,-0.8509,,,,plumbing,,
pi-1571,Copper,,lv-5,,,,4.335991311E-05,-6.1087,2.636738505,-0.8366125,-6.092825,2.652613505,-0.6175375,-6.1007625,2.644676005,-6.1007625,2.644676005,0.219075,-0.6175375,-0.8366125,,,,plumbing,,
pi-1572,Copper,,lv-5,,,,0.0001973202861,-6.1087,2.665313505,-0.6048375,-6.092825,3.662269877,-0.5889625,-6.1007625,3.662269877,-6.1007625,2.665313505,0.9969563723,-0.5969,-0.5969,,,,plumbing,,
pi-1573,Copper,,lv-5,,,,6.528346509E-06,-6.086475,3.674969877,-0.8588375,-6.053490674,3.690844877,-0.8429625,-6.053490674,3.682907377,-6.086475,3.682907377,0.03298432605,-0.8509,-0.8509,,,,plumbing,,
pi-1574,Copper,,lv-5,,,,4.335991311E-05,-6.1087,3.674969877,-0.8366125,-6.092825,3.690844877,-0.6175375,-6.1007625,3.682907377,-6.1007625,3.682907377,0.219075,-0.6175375,-0.8366125,,,,plumbing,,
pi-1575,Copper,,lv-5,,,,0.0003107833898,-6.1087,3.703544877,-0.6048375,-6.092825,5.273771066,-0.5889625,-6.1007625,5.273771066,-6.1007625,3.703544877,1.570226189,-0.5969,-0.5969,,,,plumbing,,
pi-1576,Copper,,lv-5,,,,9.738368963E-05,-6.1087,5.111846066,-0.5540375,-6.092825,5.603875,-0.5381625,-6.1007625,5.111846066,-6.1007625,5.603875,0.4920289336,-0.5461,-0.5461,,,,plumbing,,
pi-1577,Copper,,lv-5,,,,4.398831764E-06,-6.1087,1.4017625,-0.5826125,-6.092825,1.4176375,-0.5603875,-6.1007625,1.4097,-6.1007625,1.4097,0.022225,-0.5826125,-0.5603875,,,,plumbing,,
pi-1578,Copper,,lv-5,,,,9.426001017E-07,-6.080125,5.083271066,-0.5540375,-6.0753625,5.099146066,-0.5381625,-6.080125,5.091208566,-6.0753625,5.091208566,0.0047625,-0.5461,-0.5461,,,,plumbing,,
pi-1579,Copper,,lv-5,,,,4.398831764E-06,-6.0690125,5.083271066,-0.5826125,-6.0531375,5.099146066,-0.5603875,-6.061075,5.091208566,-6.061075,5.091208566,0.022225,-0.5826125,-0.5603875,,,,plumbing,,
pi-1580,Copper,,lv-5,,,,0.0007217416254,-6.1087,1.4239875,-0.5540375,-6.092825,5.070571066,-0.5381625,-6.1007625,1.4239875,-6.1007625,5.070571066,3.646583566,-0.5461,-0.5461,,,,plumbing,,
pi-1581,Copper,,lv-5,,,,1.948054067E-05,-6.086475,5.610225,-0.5540375,-5.98805,5.6261,-0.5381625,-6.086475,5.6181625,-5.98805,5.6181625,0.098425,-0.5461,-0.5461,,,,plumbing,,
pi-1582,Copper,,lv-5,,,,7.98073763E-05,-5.9817,5.63245,-0.5540375,-5.965825,6.035675,-0.5381625,-5.9737625,5.63245,-5.9737625,6.035675,0.403225,-0.5461,-0.5461,,,,plumbing,,
pi-1583,Copper,,lv-5,,,,1.948054067E-05,-6.086475,6.042025,-0.5540375,-5.98805,6.0579,-0.5381625,-5.98805,6.0499625,-6.086475,6.0499625,0.098425,-0.5461,-0.5461,,,,plumbing,,
pi-1584,Copper,,lv-5,,,,0.0009683713927,-6.1087,6.06425,-0.5540375,-6.092825,10.956925,-0.5381625,-6.1007625,6.06425,-6.1007625,10.956925,4.892675,-0.5461,-0.5461,,,,plumbing,,
pi-1585,Copper,,lv-5,,,,0.0004326565243,-6.086475,10.963275,1.6811625,-3.9004875,10.97915,1.6970375,-6.086475,10.9712125,-3.9004875,10.9712125,2.1859875,1.6891,1.6891,,,,plumbing,,
pi-1586,Copper,,lv-5,,,,0.0004367411538,-6.1087,10.963275,-0.5318125,-6.092825,10.97915,1.6748125,-6.1007625,10.9712125,-6.1007625,10.9712125,2.206625,-0.5318125,1.6748125,,,,plumbing,,
pi-1587,Copper,,lv-5,,,,2.262256336E-05,-3.8941375,10.842625,-0.1476375,-3.8782625,10.956925,-0.1317625,-3.8862,10.956925,-3.8862,10.842625,0.1143,-0.1397,-0.1397,,,,plumbing,,
pi-1588,Copper,,lv-5,,,,0.0003563053729,-3.8941375,10.963275,-0.1254125,-3.8782625,10.97915,1.6748125,-3.8862,10.9712125,-3.8862,10.9712125,1.800225,1.6748125,-0.1254125,,,,plumbing,,
