id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-50,12 V,60,lv-8,,,0,1.608719887E-06,-31.58582322,-2.087742204,12.83040746,-31.55958439,-2.070350726,12.85597291,-31.57335209,-2.080469099,114.5503156,,
eq-51,12 V,61,lv-8,,,0,1.608719887E-06,-28.68570692,-3.04433895,14.71393711,-28.6594681,-3.026947472,14.73950256,-28.6732358,-3.037065845,114.5503156,,
eq-52,12 V,62,lv-8,,,0,1.608719887E-06,-30.4723689,-2.230927285,14.70999736,-30.44613007,-2.213535806,14.73556281,-30.45989778,-2.223654179,114.5503156,,
eq-53,12 V,63,lv-7,,,0,1.608719887E-06,-29.44124069,-2.321452255,16.66774312,-29.41500187,-2.304060776,16.69330857,-29.42876957,-2.314179149,114.5503156,,
eq-54,12 V,64,lv-7,,,0,1.608719887E-06,-28.53685306,-2.73527199,16.65900232,-28.51061423,-2.717880511,16.68456777,-28.52438193,-2.727998884,114.5503156,,
eq-55,12 V,65,lv-8,,,0,1.608719887E-06,-31.32011782,-1.462964028,16.67956658,-31.29387899,-1.44557255,16.70513203,-31.3076467,-1.455690922,114.5503156,,
eq-56,PV4,66,lv-7,,,-8.662937034E-15,0.05465085844,-9.051211931,-1.557032203,18.6055,-8.528383722,-1.213478188,19.3421,-8.820079147,-1.451705871,162.7434031,,
eq-57,240V - Fusible 100A,67,lv-7,,,-1.001652095E-14,0.02332360097,-9.542762789,-1.275104861,18.71345,-9.140433573,-0.9749442436,19.2532,-9.328964964,-1.219808537,162.7434031,,
eq-58,12 V,68,lv-7,,,0,1.608719887E-06,-26.37267583,-2.938291289,5.143344763,-26.346437,-2.92089981,5.168910213,-26.3602047,-2.931018183,114.5503156,,
eq-59,12 V,69,lv-7,,,0,1.608719887E-06,-24.5656039,-3.760362409,5.15059399,-24.53936507,-3.74297093,5.17615944,-24.55313277,-3.753089303,114.5503156,,
eq-60,12 V,70,lv-7,,,0,1.608719887E-06,-23.66925606,-4.167576583,5.157035236,-23.64301723,-4.150185104,5.182600686,-23.65678493,-4.160303477,114.5503156,,
eq-61,12 V,71,lv-8,,,0,1.608719887E-06,-24.19848603,-2.808589796,10.92576816,-24.1722472,-2.791198317,10.95133361,-24.1860149,-2.80131669,114.5503156,,
eq-62,12 V,72,lv-8,,,0,1.608719887E-06,-22.78282086,-4.570701465,5.161268402,-22.75658203,-4.553309987,5.186833852,-22.77034974,-4.56342836,114.5503156,,
eq-63,12 V,73,lv-8,,,0,1.608719887E-06,-22.64099162,-4.271787341,7.037417912,-22.61475279,-4.254395862,7.062983362,-22.62852049,-4.264514235,114.5503156,,
eq-64,12 V,74,lv-8,,,0,1.608719887E-06,-24.43830955,-3.454841026,7.026659686,-24.41207072,-3.437449547,7.052225136,-24.42583843,-3.44756792,114.5503156,,
eq-65,12 V,75,lv-7,,,0,1.608719887E-06,-26.23895066,-2.637791678,7.008618035,-26.21271183,-2.620400199,7.034183485,-26.22647953,-2.630518572,114.5503156,,
eq-66,12 V,76,lv-7,,,0,1.608719887E-06,-26.08503691,-2.336472354,8.925599374,-26.05879808,-2.319080875,8.951164824,-26.07256578,-2.329199248,114.5503156,,
eq-67,12 V,77,lv-7,,,0,1.608719887E-06,-24.29166678,-3.151411358,8.937432632,-24.26542795,-3.13401988,8.962998081,-24.27919565,-3.144138252,114.5503156,,
eq-68,12 V,78,lv-7,,,0,1.608719887E-06,-23.38657444,-3.563614612,8.938691263,-23.36033561,-3.546223133,8.964256713,-23.37410331,-3.556341506,114.5503156,,
eq-69,12 V,79,lv-7,,,0,1.608719887E-06,-22.51010172,-3.955845715,8.975715121,-22.48386289,-3.938454236,9.001280571,-22.4976306,-3.948572609,114.5503156,,
eq-70,12 V,80,lv-8,,,0,1.608719887E-06,-25.47154503,-3.340402499,5.187369042,-25.4453062,-3.32301102,5.212934492,-25.45907391,-3.333129393,114.5503156,,
eq-71,12 V,81,lv-8,,,0,1.608719887E-06,-22.35389102,-3.662086439,10.85908305,-22.3276522,-3.64469496,10.8846485,-22.3414199,-3.654813333,114.5503156,,
eq-72,12 V,82,lv-8,,,0,1.608719887E-06,-18.40927298,-2.068242278,12.80318489,-18.38166315,-2.051320642,12.83037126,-18.39611636,-2.061204094,116.1732839,,
eq-73,12 V,83,lv-7,,,0,1.608719887E-06,-25.94130373,-2.030532203,10.84248564,-25.9150649,-2.013140724,10.86805109,-25.92883261,-2.023259097,114.5503156,,
eq-74,12 V,84,lv-7,,,0,1.608719887E-06,-25.79891815,-1.719309868,12.78346255,-25.77267932,-1.701918389,12.809028,-25.78644702,-1.712036762,114.5503156,,
eq-75,12 V,85,lv-7,,,0,1.608719887E-06,-24.00199259,-2.533718348,12.80639505,-23.97575376,-2.516326869,12.8319605,-23.98952146,-2.526445242,114.5503156,,
eq-76,12 V,86,lv-7,,,0,1.608719887E-06,-23.09004218,-2.951125779,12.79692466,-23.06380336,-2.9337343,12.82249011,-23.07757106,-2.943852673,114.5503156,,
eq-77,12 V,87,lv-7,,,0,1.608719887E-06,-22.21295286,-3.354089049,12.78001304,-22.18671403,-3.336697571,12.80557849,-22.20048174,-3.346815943,114.5503156,,
eq-78,12 V,88,lv-8,,,0,1.608719887E-06,-24.97780278,-2.080964007,12.84810047,-24.95156395,-2.063572529,12.87366592,-24.96533165,-2.073690901,114.5503156,,
eq-79,12 V,89,lv-8,,,0,1.608719887E-06,-22.07192672,-3.046895734,14.69700036,-22.04568789,-3.029504255,14.72256581,-22.05945559,-3.039622628,114.5503156,,
eq-80,12 V,90,lv-8,,,0,1.608719887E-06,-23.87427793,-2.221712272,14.71691479,-23.8480391,-2.204320793,14.74248024,-23.86180681,-2.214439166,114.5503156,,
eq-81,12 V,91,lv-7,,,0,1.608719887E-06,-25.66926999,-1.406508841,14.70263185,-25.64303116,-1.389117363,14.7281973,-25.65679886,-1.399235736,114.5503156,,
eq-82,12 V,92,lv-7,,,0,1.608719887E-06,-25.52962395,-1.09455829,16.64092423,-25.50338512,-1.077166812,16.66648968,-25.51715283,-1.087285185,114.5503156,,
eq-83,12 V,93,lv-7,,,0,1.608719887E-06,-23.72158697,-1.913791718,16.66508747,-23.69534814,-1.896400239,16.69065292,-23.70911585,-1.906518612,114.5503156,,
eq-84,12 V,94,lv-7,,,0,1.608719887E-06,-22.8160397,-2.334166329,16.62524602,-22.78980087,-2.31677485,16.65081147,-22.80356857,-2.326893223,114.5503156,,
eq-85,12 V,95,lv-7,,,0,1.608719887E-06,-21.91391134,-2.736167947,16.67218186,-21.88767251,-2.718776468,16.69774731,-21.90144021,-2.728894841,114.5503156,,
eq-86,12 V,96,lv-8,,,0,1.608719887E-06,-24.70361746,-1.460885757,16.692947,-24.67737864,-1.443494279,16.71851245,-24.69114634,-1.453612651,114.5503156,,
