id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-235,,0,17.78,17.78,,0.282,0.467,Steel
bm-236,,0,17.78,17.78,,0.282,0.467,Steel
bm-237,,0,17.78,17.78,,0.282,0.467,Steel
bm-238,,0,17.78,17.78,,0.191,0.46,Steel
bm-239,,0,17.78,17.78,,0.384,0.795,Steel
bm-240,,0,17.78,17.78,,0.165,0.31,Steel
bm-241,,0,17.78,17.78,,0.165,0.31,Steel
bm-242,,0,17.78,17.78,,0.191,0.46,Steel
bm-243,,0,17.78,17.78,,0.165,0.31,Steel
bm-244,,0,17.78,17.78,,0.1,0.2,Steel
bm-245,,0,17.78,17.78,,0.1,0.2,Steel
bm-246,,0,17.78,17.78,,0.1,0.2,Steel
bm-247,,0,17.78,17.78,,0.191,0.46,Steel
bm-248,,0,17.78,17.78,,0.165,0.31,Steel
bm-249,,0,17.78,17.78,,0.165,0.31,Steel
bm-250,,0,17.78,17.78,,0.165,0.31,Steel
bm-251,,0,17.78,17.78,,0.165,0.31,Steel
bm-252,,0,17.78,17.78,,0.165,0.31,Steel
bm-253,,0,17.78,17.78,,0.165,0.31,Steel
bm-254,,0,17.78,17.78,,0.165,0.31,Steel
bm-255,,0,17.78,17.78,,0.165,0.31,Steel
bm-256,,0,17.78,17.78,,0.165,0.31,Steel
bm-257,,0,17.78,17.78,,0.1,0.2,Steel
bm-258,,0,17.78,17.78,,0.1,0.2,Steel
bm-259,,0,17.78,17.78,,0.1,0.2,Steel
bm-260,,0,17.78,17.78,,0.191,0.46,Steel
bm-261,,0,17.78,17.78,,0.191,0.46,Steel
bm-262,,0,17.78,17.78,,0.165,0.31,Steel
bm-263,,0,17.78,17.78,,0.165,0.31,Steel
bm-264,,0,17.78,17.78,,0.165,0.31,Steel
bm-265,,0,17.78,17.78,,0.1,0.2,Steel
bm-266,,0,17.78,17.78,,0.1,0.2,Steel
bm-267,,0,17.78,17.78,,0.1,0.2,Steel
bm-268,,0,17.78,17.78,,0.165,0.31,Steel
bm-269,,0,17.78,17.78,,0.165,0.31,Steel
bm-270,,0,17.78,17.78,,0.165,0.31,Steel
bm-271,,0,17.78,17.78,,0.165,0.31,Steel
bm-272,,0,17.78,17.78,,0.1,0.2,Steel
bm-273,,0,17.78,17.78,,0.1,0.2,Steel
bm-274,,0,17.78,17.78,,0.191,0.46,Steel
bm-275,,0,17.78,17.78,,0.191,0.46,Steel
bm-276,,0,17.78,17.78,,0.191,0.46,Steel
bm-277,,0,17.78,17.78,,0.191,0.46,Steel
bm-278,,0,17.78,17.78,,0.165,0.31,Steel
bm-279,,0,17.78,17.78,,0.165,0.31,Steel
bm-280,,0,17.78,17.78,,0.191,0.46,Steel
bm-281,,0,17.78,17.78,,0.1,0.2,Steel
bm-282,,0,17.78,17.78,,0.1,0.2,Steel
bm-283,,0,17.78,17.78,,0.1,0.2,Steel
bm-284,,0,17.78,17.78,,0.165,0.31,Steel
bm-285,,0,17.78,17.78,,0.191,0.46,Steel
bm-286,,0,17.78,17.78,,0.191,0.46,Steel
bm-287,,0,17.78,17.78,,0.191,0.46,Steel
bm-288,,0,17.78,17.78,,0.191,0.46,Steel
bm-289,,0,17.78,17.78,,,0.508,Steel
bm-290,,0,17.78,17.78,,,0.508,Steel
bm-291,,0,17.78,17.78,,,0.508,Steel
bm-292,,0,17.78,17.78,,,0.508,Steel
bm-293,,0,17.78,17.78,,,0.508,Steel
bm-294,,0,17.78,17.78,,,0.508,Steel
bm-295,,0,17.78,17.78,,,0.508,Steel
bm-296,,0,17.78,17.78,,,0.508,Steel
bm-297,,0,17.78,17.78,,,0.508,Steel
bm-298,,0,17.78,17.78,,,0.508,Steel
bm-299,,0,17.78,17.78,,0.191,0.46,Steel
bm-300,,0,17.78,17.78,,0.191,0.46,Steel
bm-301,,0,17.78,17.78,,0.191,0.46,Steel
bm-302,,0,17.78,17.78,,,0.508,Steel
bm-303,,0,17.78,17.78,,,0.508,Steel
bm-304,,0,17.78,17.78,,,0.508,Steel
bm-305,,0,17.78,17.78,,,0.508,Steel
bm-306,,0,17.78,17.78,,,0.508,Steel
bm-307,,0,17.78,17.78,,,0.508,Steel
bm-308,,0,17.78,17.78,,,0.508,Steel
bm-309,,0,5.588,5.588,,,0.406,Steel
bm-310,,0,5.588,5.588,,,0.406,Steel
bm-311,,0,5.588,5.588,,,0.406,Steel
bm-312,,0,5.588,5.588,,,0.406,Steel
bm-313,,0,5.588,5.588,,,0.406,Steel
bm-314,,0,5.588,5.588,,,0.406,Steel
bm-315,,0,5.588,5.588,,,0.406,Steel
bm-316,,0,5.588,5.588,,,0.406,Steel
bm-317,,0,5.588,5.588,,,0.406,Steel
bm-318,,0,5.588,5.588,,,0.406,Steel
bm-319,,0,5.588,5.588,,,0.406,Steel
bm-320,,0,5.588,5.588,,,0.406,Steel
bm-321,,0,5.588,5.588,,,0.406,Steel
bm-322,,0,5.588,5.588,,,0.406,Steel
bm-323,,0,5.588,5.588,,,0.406,Steel
bm-324,,0,17.78,17.78,,0.191,0.46,Steel
bm-325,,0,17.78,17.78,,0.191,0.46,Steel
bm-326,,0,17.78,17.78,,,0.406,Steel
bm-327,,0,17.78,17.78,,,0.406,Steel
bm-328,,0,17.78,17.78,,,0.406,Steel
bm-329,,0,17.78,17.78,,,0.406,Steel
bm-330,,0,17.78,17.78,,,0.406,Steel
bm-331,,0,17.78,17.78,,,0.406,Steel
bm-332,,0,17.78,17.78,,,0.406,Steel
bm-333,,0,17.78,17.78,,,0.406,Steel
bm-334,,0,17.78,17.78,,,0.406,Steel
bm-335,,0,17.78,17.78,,,0.406,Steel
bm-336,,0,17.78,17.78,,,0.406,Steel
bm-337,,0,17.78,17.78,,,0.406,Steel
bm-338,,0,17.78,17.78,,,0.406,Steel
bm-339,,0,17.78,17.78,,,0.406,Steel
bm-340,,0,17.78,17.78,,,0.406,Steel
bm-341,,0,17.78,17.78,,,0.406,Steel
bm-342,,0,17.78,17.78,,,0.406,Steel
bm-343,,0,17.78,17.78,,,0.406,Steel
bm-344,,0,17.78,17.78,,,0.406,Steel
bm-345,,0,17.78,17.78,,,0.406,Steel
bm-346,,0,17.78,17.78,,,0.406,Steel
bm-347,,0,17.78,17.78,,,0.406,Steel
bm-348,,0,17.78,17.78,,,0.406,Steel
bm-349,,0,17.78,17.78,,,0.406,Steel
bm-350,,0,17.78,17.78,,,0.406,Steel
bm-351,,0,17.78,17.78,,,0.406,Steel
bm-352,,0,17.78,17.78,,,0.406,Steel
bm-353,,0,17.78,17.78,,,0.406,Steel
bm-354,,0,17.78,17.78,,,0.406,Steel
bm-355,,0,17.78,17.78,,,0.406,Steel
bm-356,,0,17.78,17.78,,,0.406,Steel
bm-357,,0,17.78,17.78,,,0.406,Steel
bm-358,,0,17.78,17.78,,,0.406,Steel
bm-359,,0,17.78,17.78,,,0.406,Steel
bm-360,,0,17.78,17.78,,,0.406,Steel
bm-361,,0,17.78,17.78,,,0.406,Steel
bm-362,,0,17.78,17.78,,,0.406,Steel
bm-363,,0,17.78,17.78,,,0.406,Steel
bm-364,,0,17.78,17.78,,,0.406,Steel
bm-365,,0,17.78,17.78,,,0.406,Steel
bm-366,,0,17.78,17.78,,,0.406,Steel
bm-367,,0,17.78,17.78,,,0.406,Steel
bm-368,,0,17.78,17.78,,,0.406,Steel
bm-369,,0,17.78,17.78,,,0.406,Steel
bm-370,,0,17.78,17.78,,,0.406,Steel
bm-371,,0,17.78,17.78,,,0.406,Steel
bm-372,,0,21.092,20.849,,0.076,0.089,Steel
