id,uuid,directory
w-138,9e597f98-694d-4ada-b8ef-0e7459e0b930-00028ffe,global
w-139,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002907a,global
w-140,9e597f98-694d-4ada-b8ef-0e7459e0b930-000290c1,global
w-141,9e597f98-694d-4ada-b8ef-0e7459e0b930-00029183,global
w-142,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002920a,global
w-143,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002925b,global
cw-32,f1268bbe-9264-4ea5-b30b-6919ab197ea7-000295ba,global
cw-33,f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029682,global
w-144,f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002972a,global
w-145,9e94f57c-3b96-47ee-8d6b-c46d9346a9cb-0002c838,global
w-146,5bbf8047-337a-468f-98e7-d037aa536b9a-0002dc57,global
cw-34,cf8cfcc0-c742-4a2a-b6ca-a26573419e10-00030069,global
sl-1,6949fe39-3e9a-4d4d-b7fe-71339c615138-0002221b,global
sl-2,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022235,global
sl-3,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002640e,global
sl-4,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310e1,global
sl-5,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003115e,global
sl-6,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031176,global
sl-7,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311a8,global
sl-8,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311ba,global
sl-9,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311c3,global
sl-10,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311cc,global
sl-11,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311d5,global
sl-12,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311e7,global
sl-13,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311f0,global
sl-14,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311f9,global
sl-15,dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031202,global
sl-16,e4148a5a-ef43-42c7-8c1f-cbfa1d6199fc-00033ec3,global
ro-1,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022318,global
ro-2,0d713075-d3b4-4abf-af2d-86a32fea39dc-00022c5e,global
ro-3,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002877b,global
ro-4,9e597f98-694d-4ada-b8ef-0e7459e0b930-00028c7c,global
ro-5,9e597f98-694d-4ada-b8ef-0e7459e0b930-00028cf6,global
ro-6,5d2f94ca-45eb-4b7a-a78b-f803f510b4c4-0003122e,global
sp-1,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,global
sp-2,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,global
sp-3,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b499,global
sp-4,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49a,global
sp-5,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49b,global
sp-6,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49c,global
sp-7,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49d,global
sp-8,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49e,global
sp-9,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b49f,global
sp-10,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a0,global
sp-11,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a1,global
sp-12,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a2,global
sp-13,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a3,global
sp-14,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a4,global
sp-15,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a5,global
sp-16,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a6,global
sp-17,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a7,global
sp-18,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a8,global
sp-19,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4a9,global
sp-20,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4aa,global
sp-21,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4ac,global
sp-22,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4ad,global
sp-23,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4ae,global
sp-24,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b0,global
sp-25,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b1,global
sp-26,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b2,global
