id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,material,length,width,thickness
6096c76f-35e4-456d-8dd3-b1110964bb97-000c00b7,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-34.2138,12.954,-13.4112,-33.6042,13.5636,-7.3152,-33.909,13.2588,180,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c00f0,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-34.2138,9.13765,-13.4112,-33.6042,9.74725,-7.3152,-33.909,9.44245,180,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c0153,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-30.7467,9.13765,-13.4112,-30.1371,9.74725,-7.3152,-30.4419,9.44245,180,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c01c6,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-32.48025,11.045825,-13.4112,-31.87065,11.655425,-7.3152,-32.17545,11.350625,180,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c020d,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-32.48025,7.229475,-13.4112,-31.87065,7.839075,-7.3152,-32.17545,7.534275,180,"Concrete, Cast-in-Place gray",0,0,
cd5bcf49-3342-49ff-b18f-a0db3b53a86a-000c33cd,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,6.8326,-8.8519,-13.335,7.747,-7.9375,-5.334,7.2898,-8.3947,0,"Concrete, Cast-in-Place gray",0,0,
cd5bcf49-3342-49ff-b18f-a0db3b53a86a-000c33ce,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,6.985,-8.6995,-13.335,7.5946,-8.0899,-5.715,7.2898,-8.3947,0,"Concrete, Cast-in-Place gray",0,0,
cd5bcf49-3342-49ff-b18f-a0db3b53a86a-000c33cf,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,0.635,-8.8519,-13.335,1.5494,-7.9375,-5.334,1.0922,-8.3947,0,"Concrete, Cast-in-Place gray",0,0,
cd5bcf49-3342-49ff-b18f-a0db3b53a86a-000c33d0,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,0.7874,-8.6995,-13.335,1.397,-8.0899,-5.715,1.0922,-8.3947,0,"Concrete, Cast-in-Place gray",0,0,
5da02e07-8605-4434-9834-37808478436f-000c3476,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,11.9634,-9.6901,-13.4112,12.7254,-8.9281,-5.7912,12.3444,-9.3091,360,"Concrete, Cast-in-Place gray",0,0,
