id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,material
bm-349,16K2,,,,,0,0.01061033263,15.6606875,5.8547,17.3736,15.7337125,12.6365,17.78,15.6972,12.6365,15.6972,5.8547,6.7818,17.78,17.78,,,,Steel
bm-350,16K2,,,,,0,0.01061033263,14.4414875,5.8547,17.3736,14.5145125,12.6365,17.78,14.478,12.6365,14.478,5.8547,6.7818,17.78,17.78,,,,Steel
bm-351,16K2,,,,,0,0.01061033263,13.2222875,5.8547,17.3736,13.2953125,12.6365,17.78,13.2588,12.6365,13.2588,5.8547,6.7818,17.78,17.78,,,,Steel
bm-352,16K2,,,,,0,0.01061033263,12.0030875,5.8547,17.3736,12.0761125,12.6365,17.78,12.0396,12.6365,12.0396,5.8547,6.7818,17.78,17.78,,,,Steel
bm-353,16K2,,,,,0,0.01061033263,10.7838875,5.8547,17.3736,10.8569125,12.6365,17.78,10.8204,12.6365,10.8204,5.8547,6.7818,17.78,17.78,,,,Steel
bm-354,16K2,,,,,0,0.01061033263,9.5646875,5.8547,17.3736,9.6377125,12.6365,17.78,9.6012,12.6365,9.6012,5.8547,6.7818,17.78,17.78,,,,Steel
bm-355,16K2,,,,,0,0.01061033263,8.3454875,5.8547,17.3736,8.4185125,12.6365,17.78,8.382,12.6365,8.382,5.8547,6.7818,17.78,17.78,,,,Steel
bm-356,16K2,,,,,0,0.01061033263,7.1262875,5.8547,17.3736,7.1993125,12.6365,17.78,7.1628,12.6365,7.1628,5.8547,6.7818,17.78,17.78,,,,Steel
bm-357,16K2,,,,,0,0.01061033263,5.9070875,5.8547,17.3736,5.9801125,12.6365,17.78,5.9436,5.8547,5.9436,12.6365,6.7818,17.78,17.78,,,,Steel
bm-358,16K2,,,,,0,0.01061033263,4.6878875,5.8547,17.3736,4.7609125,12.6365,17.78,4.7244,5.8547,4.7244,12.6365,6.7818,17.78,17.78,,,,Steel
bm-359,16K2,,,,,0,0.01061033263,3.4686875,5.8547,17.3736,3.5417125,12.6365,17.78,3.5052,5.8547,3.5052,12.6365,6.7818,17.78,17.78,,,,Steel
bm-360,16K2,,,,,0,0.01061033263,2.2494875,5.8547,17.3736,2.3225125,12.6365,17.78,2.286,5.8547,2.286,12.6365,6.7818,17.78,17.78,,,,Steel
bm-361,16K2,,,,,0,0.005934115156,1.0302875,8.5471,17.3736,1.1033125,12.6365,17.78,1.0668,12.6365,1.0668,8.5471,4.0894,17.78,17.78,,,,Steel
bm-362,16K2,,,,,0,0.005934115156,-0.1889125,8.5471,17.3736,-0.1158875,12.6365,17.78,-0.1524,12.6365,-0.1524,8.5471,4.0894,17.78,17.78,,,,Steel
bm-363,16K2,,,,,0,0.005934115156,-1.4081125,8.5471,17.3736,-1.3350875,12.6365,17.78,-1.3716,12.6365,-1.3716,8.5471,4.0894,17.78,17.78,,,,Steel
bm-364,16K2,,,,,0,0.01061033263,-2.6273125,5.8547,17.3736,-2.5542875,12.6365,17.78,-2.5908,12.6365,-2.5908,5.8547,6.7818,17.78,17.78,,,,Steel
bm-365,16K2,,,,,0,0.01061033263,-3.8465125,5.8547,17.3736,-3.7734875,12.6365,17.78,-3.81,12.6365,-3.81,5.8547,6.7818,17.78,17.78,,,,Steel
bm-366,16K2,,,,,0,0.01061033263,-5.0657125,5.8547,17.3736,-4.9926875,12.6365,17.78,-5.0292,12.6365,-5.0292,5.8547,6.7818,17.78,17.78,,,,Steel
bm-367,16K2,,,,,0,0.01061033263,-6.2849125,5.8547,17.3736,-6.2118875,12.6365,17.78,-6.2484,12.6365,-6.2484,5.8547,6.7818,17.78,17.78,,,,Steel
bm-368,16K2,,,,,0,0.01061033263,-7.5041125,5.8547,17.3736,-7.4310875,12.6365,17.78,-7.4676,12.6365,-7.4676,5.8547,6.7818,17.78,17.78,,,,Steel
bm-369,16K2,,,,,0,0.01061033263,-8.7233125,5.8547,17.3736,-8.6502875,12.6365,17.78,-8.6868,12.6365,-8.6868,5.8547,6.7818,17.78,17.78,,,,Steel
bm-370,16K2,,,,,0,0.01061033263,-9.9425125,5.8547,17.3736,-9.8694875,12.6365,17.78,-9.906,12.6365,-9.906,5.8547,6.7818,17.78,17.78,,,,Steel
bm-371,16K2,,,,,0,0.01061033263,-11.1617125,5.8547,17.3736,-11.0886875,12.6365,17.78,-11.1252,12.6365,-11.1252,5.8547,6.7818,17.78,17.78,,,,Steel
bm-372,_Size,,,,,0,0.006931229736,-33.78444014,6.004031057,20.76057771,-33.6042,13.0302,21.09201581,-33.6804,6.0071,-33.6804,13.0302,7.027288527,21.09201581,20.84942472,,0,0,Steel
bm-373,_Size,,,,,0,0.00286718347,-33.6804,12.954,20.76052472,-30.6705,13.13424014,20.84942472,-33.6804,13.0302,-30.6705,13.0302,3.0099,20.84942472,20.84942472,,0,0,Steel
bm-374,_Size,,,,,0,0.006931229736,-30.7467,6.004031057,20.76057771,-30.56645986,13.0302,21.09201581,-30.6705,13.0302,-30.6705,6.0071,7.027288527,20.84942472,21.09201581,,0,0,Steel
bm-375,_Size,,,,,0,0.00286718347,-33.6804,5.903059855,21.00311581,-30.6705,6.0833,21.09201581,-30.6705,6.0071,-33.6804,6.0071,3.0099,21.09201581,21.09201581,,0,0,Steel
bm-376,W8x10,,,,,0,0.00628624585,-33.6804,11.80964533,20.68945057,-30.6705,11.90972133,20.88985657,-33.6804,11.85968333,-30.6705,11.85968333,3.0099,20.88985657,20.88985657,,0,0,Steel
bm-377,W8x10,,,,,0,0.00628624585,-33.6804,10.63912867,20.72988242,-30.6705,10.73920467,20.93028842,-33.6804,10.68916667,-30.6705,10.68916667,3.0099,20.93028842,20.93028842,,0,0,Steel
bm-378,W8x10,,,,,0,0.00628624585,-33.6804,9.468612,20.77031427,-30.6705,9.568688,20.97072027,-33.6804,9.51865,-30.6705,9.51865,3.0099,20.97072027,20.97072027,,0,0,Steel
bm-379,W8x10,,,,,0,0.00628624585,-33.6804,8.298095333,20.81074612,-30.6705,8.398171333,21.01115212,-33.6804,8.348133333,-30.6705,8.348133333,3.0099,21.01115212,21.01115212,,0,0,Steel
bm-380,W8x10,,,,,0,0.00628624585,-33.6804,7.127578667,20.85117796,-30.6705,7.227654667,21.05158396,-33.6804,7.177616667,-30.6705,7.177616667,3.0099,21.05158396,21.05158396,,0,0,Steel
bm-381,_Size,,,,,0,0.002939313063,-15.0114,5.6261,5.4356,-12.1031,5.806340145,5.588,-15.0114,5.7023,-12.1031,5.7023,2.9083,5.588,5.588,,0,0,Steel
bm-382,16K6,,,,,0,0.007654806758,-6.9707125,0.762,5.1816,-6.8976875,5.8547,5.588,-6.9342,5.8547,-6.9342,0.762,5.0927,5.588,5.588,,,,Steel
bm-383,16K6,,,,,0,0.007654806758,-8.1899125,0.762,5.1816,-8.1168875,5.8547,5.588,-8.1534,5.8547,-8.1534,0.762,5.0927,5.588,5.588,,,,Steel
bm-384,16K6,,,,,0,0.007654806758,-9.4091125,0.762,5.1816,-9.3360875,5.8547,5.588,-9.3726,5.8547,-9.3726,0.762,5.0927,5.588,5.588,,,,Steel
bm-385,16K6,,,,,0,0.007654806758,-10.6283125,0.762,5.1816,-10.5552875,5.8547,5.588,-10.5918,5.8547,-10.5918,0.762,5.0927,5.588,5.588,,,,Steel
bm-386,16K6,,,,,0,0.007654806758,-11.8475125,0.762,5.1816,-11.7744875,5.8547,5.588,-11.811,5.8547,-11.811,0.762,5.0927,5.588,5.588,,,,Steel
bm-387,16K6,,,,,0,0.007382354174,-13.0667125,0.762,5.1816,-12.9936875,5.6769,5.588,-13.0302,5.6769,-13.0302,0.762,4.9149,5.588,5.588,,,,Steel
bm-388,16K6,,,,,0,0.007382354174,-14.2859125,0.762,5.1816,-14.2128875,5.6769,5.588,-14.2494,5.6769,-14.2494,0.762,4.9149,5.588,5.588,,,,Steel
bm-389,W8x10,,,,,0,0.004737916113,10.72105043,-1.502697528,17.579594,11.83474133,0.7827504205,17.78,10.76658307,-1.481947108,11.78920869,0.762,2.465980894,17.78,17.78,,0,0,Steel
bm-390,W18x55,,,,,0,0.06972243048,-17.799431,5.8547,0.93726,-17.608169,12.6365,1.524,-17.7038,5.8547,-17.7038,12.6365,6.7818,1.524,1.524,,0,0,Steel
bm-391,W18x55,,,,,0,0.08970555289,-15.0114,-8.490331,1.78816,-6.1722,-8.299069,2.3114,-15.0114,-8.3947,-6.1722,-8.3947,8.8392,2.3114,2.3114,,0,0,Steel
bm-392,W18x55,,,,,0,0.09035766655,-15.0114,-3.969131,1.78816,-6.1722,-3.777869,2.3114,-15.0114,-3.8735,-6.1722,-3.8735,8.8392,2.3114,2.3114,,0,0,Steel
