id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
29ad6e58-46b5-4fcb-a552-654d521c97d8-00160ea7,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.005960994472,-26.14284344,11.15676493,9.2964,-26.04124344,11.8920626,9.398,-26.09204344,11.15676493,-26.09204344,11.8920626,0.7352976675,9.3472,9.3472,round,0.1016,0.1016,hvac,a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015f185,29ad6e58-46b5-4fcb-a552-654d521c97d8-001614d4
29ad6e58-46b5-4fcb-a552-654d521c97d8-00160ec4,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.006990572467,-25.63484344,11.15676493,9.2964,-25.53324344,12.0190626,9.398,-25.58404344,11.15676493,-25.58404344,12.0190626,0.8622976675,9.3472,9.3472,round,0.1016,0.1016,hvac,a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015f185,29ad6e58-46b5-4fcb-a552-654d521c97d8-00161442
29ad6e58-46b5-4fcb-a552-654d521c97d8-00160ee9,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.006990572467,-19.40549344,11.15676493,9.3472,-19.30389344,12.0190626,9.4488,-19.35469344,11.15676493,-19.35469344,12.0190626,0.8622976675,9.398,9.398,round,0.1016,0.1016,hvac,a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015f18d,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613c7
29ad6e58-46b5-4fcb-a552-654d521c97d8-00160f05,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.006990572467,-18.89749344,11.15676493,9.3472,-18.79589344,12.0190626,9.4488,-18.84669344,11.15676493,-18.84669344,12.0190626,0.8622976675,9.398,9.398,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-0016139d,a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015f18d
29ad6e58-46b5-4fcb-a552-654d521c97d8-00161387,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.004579514007,-18.47188997,12.1206626,8.9916,-17.907,12.2222626,9.0932,-17.907,12.1714626,-18.47188997,12.1714626,0.5648899664,9.0424,9.0424,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613a1,0c10a9a6-8fbc-4954-bb30-11a7f5225350-0016ca9e
29ad6e58-46b5-4fcb-a552-654d521c97d8-00161390,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.001992464314,-18.78610877,12.1206626,9.062585851,-18.54904186,12.2222626,9.315325696,-18.74753282,12.1714626,-18.58761781,12.1714626,0.2457734811,9.282272159,9.095639388,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-0016139d,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613a1
29ad6e58-46b5-4fcb-a552-654d521c97d8-001613af,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.01521984902,-21.5646,12.1206626,8.9916,-19.68720865,12.2222626,9.0932,-21.5646,12.1714626,-19.68720865,12.1714626,1.877391354,9.0424,9.0424,round,0.1016,0.1016,hvac,47065ce9-b3e5-4eaa-a2b7-7c850f6d9b5a-0016fbf8,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613cb
29ad6e58-46b5-4fcb-a552-654d521c97d8-001613ba,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.00167206243,-19.60454504,12.1206626,9.076659595,-19.40196694,12.2222626,9.303539697,-19.44329874,12.1714626,-19.56321324,12.1714626,0.206251425,9.274004596,9.106194696,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613cb,29ad6e58-46b5-4fcb-a552-654d521c97d8-001613c7
29ad6e58-46b5-4fcb-a552-654d521c97d8-001613d9,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.007775480752,-25.21611729,12.1206626,8.9916,-24.257,12.2222626,9.0932,-24.257,12.1714626,-25.21611729,12.1714626,0.9591172894,9.0424,9.0424,round,0.1016,0.1016,hvac,0c10a9a6-8fbc-4954-bb30-11a7f5225350-0016cacf,29ad6e58-46b5-4fcb-a552-654d521c97d8-0016143e
29ad6e58-46b5-4fcb-a552-654d521c97d8-001613e4,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.001747251796,-25.51220139,12.1206626,9.051115902,-25.28795934,12.2222626,9.275357951,-25.32388036,12.1714626,-25.47628036,12.1714626,0.2155261469,9.087036927,9.239436927,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-0016143e,29ad6e58-46b5-4fcb-a552-654d521c97d8-00161442
29ad6e58-46b5-4fcb-a552-654d521c97d8-0016145f,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.01302805633,-28.067,11.9936626,8.9916,-26.45996958,12.0952626,9.0932,-28.067,12.0444626,-26.45996958,12.0444626,1.607030417,9.0424,9.0424,round,0.1016,0.1016,hvac,47065ce9-b3e5-4eaa-a2b7-7c850f6d9b5a-0016fba2,29ad6e58-46b5-4fcb-a552-654d521c97d8-001614d0
29ad6e58-46b5-4fcb-a552-654d521c97d8-0016146a,Tees,,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,,0.001747251796,-26.38812753,11.9936626,9.051115902,-26.16388549,12.0952626,9.275357951,-26.35220651,12.0444626,-26.19980651,12.0444626,0.2155261469,9.087036927,9.239436927,round,0.1016,0.1016,hvac,29ad6e58-46b5-4fcb-a552-654d521c97d8-001614d0,29ad6e58-46b5-4fcb-a552-654d521c97d8-001614d4
f6e524e6-b848-42b8-99e6-fa105857ae7b-00161724,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.01482592312,-26.98542224,10.89951245,4.8514,-26.52822224,11.10271245,5.0546,-26.98542224,11.00111245,-26.52822224,11.00111245,0.4572,4.953,4.953,round,0.2032,0.2032,hvac,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161739,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161562
f6e524e6-b848-42b8-99e6-fa105857ae7b-0016172d,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.09883948749,-26.32502224,7.648312446,4.8514,-26.12182224,10.69631245,5.0546,-26.22342224,10.69631245,-26.22342224,7.648312446,3.048,4.953,4.953,round,0.2032,0.2032,hvac,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161739,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161787
f6e524e6-b848-42b8-99e6-fa105857ae7b-00161758,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.2866345137,-26.98542224,11.40751245,4.8514,-18.14622224,11.61071245,5.0546,-26.98542224,11.50911245,-18.14622224,11.50911245,8.8392,4.953,4.953,round,0.2032,0.2032,hvac,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161562,f6e524e6-b848-42b8-99e6-fa105857ae7b-00161772
